id,designation,short,names,aliases,tags,type,type_label,code,constellation,ra_deg,dec_deg,major_arcmin,minor_arcmin,v_mag,sb,sb_basis,messier,caldwell,plannable,why_not,source
ngc3918,NGC 3918,NGC 3918,Blue Planetary,eso170-13,,planetary-nebula,Planetary nebula,PN,Centaurus,177.57479,-57.18233,0.32,,8.10,14.25,derived,,,1,,NGC3918
ngc3923,NGC 3923,NGC 3923,,eso440-17|pgc37061,,galaxy,Elliptical galaxy,G,Hydra,177.75704,-28.80603,6.89,4.55,9.60,22.64,leda,,,1,,NGC3923
ngc3938,NGC 3938,NGC 3938,,pgc37229|ugc6856,,galaxy,Spiral galaxy,G,Ursa Major,178.20604,44.12072,3.55,3.44,10.36,21.87,leda,,,1,,NGC3938
ngc3941,NGC 3941,NGC 3941,,pgc37235|ugc6857,,galaxy,Lenticular galaxy,G,Ursa Major,178.23067,36.98633,3.51,2.33,10.37,21.82,leda,,,1,,NGC3941
ngc3945,NGC 3945,NGC 3945,,pgc37258|ugc6860,,galaxy,Lenticular galaxy,G,Ursa Major,178.30721,60.67556,5.55,3.29,10.75,23.17,leda,,,1,,NGC3945
ngc3949,NGC 3949,NGC 3949,,pgc37290|ugc6869,,galaxy,Spiral galaxy,G,Ursa Major,178.42383,47.85869,2.26,1.32,10.89,20.98,leda,,,1,,NGC3949
ngc3953,NGC 3953,NGC 3953,,pgc37306|ugc6870,,galaxy,Spiral galaxy,G,Ursa Major,178.45383,52.32678,6.14,3.13,10.10,22.26,leda,,,1,,NGC3953
ngc3955,NGC 3955,NGC 3955,,eso504-26|pgc37320,,galaxy,Lenticular galaxy,G,Crater,178.48812,-23.16417,4.15,1.21,11.84,23.32,leda,,,1,,NGC3955
ngc3960,NGC 3960,NGC 3960,,mwsc1982,,open-cluster,Open cluster,OCl,Centaurus,177.63838,-55.66983,6.00,,8.30,20.82,derived,,,1,,NGC3960
ngc3962,NGC 3962,NGC 3962,,pgc37366|ugca253,,galaxy,Elliptical galaxy,G,Crater,178.66708,-13.97503,4.17,3.00,10.65,22.60,leda,,,1,,NGC3962
ngc3976,NGC 3976,NGC 3976,,pgc37483|ugc6906,,galaxy,Spiral galaxy,G,Virgo,178.98871,6.74944,3.13,0.90,11.70,22.05,leda,,,1,,NGC3976
ngc3981,NGC 3981,NGC 3981,,eso572-20|pgc37496|ugca255,,galaxy,Spiral galaxy,G,Crater,179.03104,-19.89617,3.32,2.11,11.65,22.63,leda,,,1,,NGC3981
ngc3982,NGC 3982,NGC 3982,,pgc37520|ugc6918,,galaxy,Spiral galaxy,G,Ursa Major,179.11721,55.12525,2.13,1.87,11.06,21.30,leda,,,1,,NGC3982
